analysis_id,gene_accession_id,gene_symbol,mouse_strain,mouse_life_stage,parameter_id,pvalue,parameter_name
1l50b06vv6w1g60,MGI:1919669,Fam72a,C57BL,Early adult,IMPC_OFD_021_001,0.2268716,Number of rears - total
1l594nj89fg119t,MGI:2442707,Tmem72,C57BL,Early adult,IMPC_GEL_017_002,0.2316066,Pale yolk sac
1l5m3aa46cm79v2,MGI:1923275,Cant1,C57BL,Early adult,IMPC_ECH_004_001,0.8543988,Ejection Fraction
1l6838e1m88ohm3,MGI:95751,Glrb,C57BL,Early adult,IMPC_HEM_004_001,0.7988979,Hematocrit
1l6ar65y1e8q24g,MGI:1926950,Zfp236,C57BL,Early adult,ESLIM_005_001_004,0.07513982,Bone Mineral Density (excluding skull)
1l74ei8hu7402th,MGI:1920211,Slc17a7,C57BL,E18.5,IMPC_HEM_004_001,0.5158808,Hematocrit
1l9624v89dh09q6,MGI:1914615,Pudp,C59BL,Early adult,ESLIM_008_001_008,0.9724747,Locomotor activity
1lb3wc4eko4dg2q,MGI:2442144,Taf5,C57BL,Early adult,IMPC_OFD_016_001,0.8883646,Center permanence time
1lk16270jo62727,MGI:2384902,Rnpep,C57BL,Early adult,KMPCLA_CSD_008_001,0.3268201,Coat - color pattern - back
1ll83pd7hqg013n,MGI:2654470,Ctdsp1,C57BL,Early adult,ESLIM_008_001_008,0.275163,Locomotor activity
1lp7v748k6653zu,MGI:2682639,Ddx31,C57BL,E18.5,ESLIM_011_001_009,0.2030019,PP3 + pulse startle magnitude
1lp80l4467tf3ld,MGI:1341851,Msl3,C57BL,Early adult,IMPC_EYE_023_001,0.4427619,Optic Disc
1lqhw3q9tpj0pz4,MGI:1923322,Rnf183,C57BL,Early adult,IMPC_GRS_010_001,0.7530104,Forelimb grip strength normalised against body weight
1lql6h873x32h6n,MGI:1341796,Pla2g2d,C57BL,Early adult,IMPC_CSD_033_001,0.8655852,Gait
1luw91957804k73,MGI:1914738,Calcoco1,C57BL,Early adult,IMPC_CSD_074_001,0.9634241,Mouth morphology
1lx7vu0uh41ox98,MGI:1197515,Irx1,C57BL,E18.5,IMPC_HEM_005_001,0.937176,Mean cell volume
1lyxn9ceeo742gb,MGI:1920211,Slc17a7,C57BL,E18.5,IMPC_OFD_050_001,0.7637369,Percentage center movement time
1m03gs59x14myld,MGI:1920081,Dhx30,C57BL,E12.5,KMPCLA_CBC_010_001,0.2380939,Phosphorus
1m0y68d7l8s9rt5,MGI:97616,Plcg2,C3H,Early adult,UCDLA_HEM_002_001,0.5167763,Red blood cell count
1m10330fe4733lf,MGI:1298397,Sncg,C57BL,Early adult,IMPC_ACS_036_001,0.9854741,% Pre-pulse inhibition - PPI4
1m1nb77va6s8x92,MGI:1889272,Cadm1,129SV,Early adult,IMPC_ABR_004_001,0.3998917,6kHz-evoked ABR Threshold
1m1y3hzgy4c031d,MGI:1918968,Telo2,C57BL,E9.5,KMPCLA_GRS_011_001,0.4467163,Forelimb and hindlimb grip strength normalised against body weight
1m2i4eez727w159,MGI:1914805,Mgat4d,C57BL,Early adult,ESLIM_015_001_019,0.2564569,Free fatty acid
1m328cxh0y54oe7,MGI:1918968,Telo2,C57BL,E9.5,IMPC_CSD_028_001,0.3970122,Snout size
1m379iyg92f863l,MGI:1920136,Yju2,C57BL,E9.5,IMPC_ECH_004_001,0.6914478,Ejection Fraction
1m3nc2w077y5579,MGI:1919669,Fam72a,C57BL,Early adult,IMPC_ACS_033_001,0.3698778,% Pre-pulse inhibition - PPI1
1m3vh684qyz7rz2,MGI:97601,Prkcq,C57BL,Early adult,IMPC_LDT_007_001,0.3436121,Percent time in dark
1m57ggus4lzdr3s,MGI:1929743,Asb2,C57BL,E12.5,JAX_OFD_020_001,0.6483635,Distance travelled - total
1m5g8t015h24xj7,MGI:1341796,Pla2g2d,C57BL,Early adult,M-G-P_013_001_004,0.2377513,Left Retina Pigmentation
1m60418bxof3ya6,MGI:1919066,Rnf180,C57BL,Early adult,IMPC_GEP_030_002,0.9096954,Edema
1m638wz9gsc40r5,MGI:1914738,Calcoco1,C57BL,Early adult,ESLIM_015_001_017,0.08054397,Total cholesterol
1m6yjtbi5b1tj20,MGI:1298397,Sncg,C57BL,Late adult,JAX_OFD_014_001,0.2704246,Center distance travelled
1m7771r9807z788,MGI:3710243,Myh7b,C57BL,Early adult,IMPC_CBC_002_001,0.5552436,Potassium
1m793l7w48q27g7,MGI:1197515,Irx1,C57BL,Early adult,IMPC_ABR_008_001,0.8081581,18kHz-evoked ABR Threshold
1m7de7ujl2an140,MGI:3769724,Tomt,C57BL,Early adult,JAX_ROT_002_001,0.1097052,Average duration
1m7njc5iissxi7c,MGI:1914805,Mgat4d,C57BL,Early adult,IMPC_HEM_005_001,0.9197511,Mean cell volume
1m848wh8912v49k,MGI:1920978,Psd,C57BL,Early adult,ESLIM_007_001_008,0.3174002,Periphery permanence time
1m86d1oc93k589t,MGI:1341157,Sox30,C57BL,Early adult,IMPC_OFD_021_001,0.4463228,Number of rears - total
1m873h8w2f75wjz,MGI:1920040,Ssbp1,C57BL,Early adult,IMPC_HEM_036_001,0.09336316,Eosinophil cell count
1m9b16ldr7d76qw,MGI:95751,Glrb,C57BL,E15.5,IMPC_GEL_024_001,0.9892043,Branchial arch morphology
1mb8d6924713xf9,MGI:3779462,Plscr5,C57BL,Early adult,IMPC_CBC_016_001,0.6687312,HDL-cholesterol
1mdm6mqyrs85u98,MGI:107416,Supt4a,C57BL,E12.5,HRWL_OWT_001_001,0.1957943,Spleen weight
1mjd08bf98010ic,MGI:1918968,Telo2,C57BL,E9.5,IMPC_GEL_018_001,NA,Visceral yolk sac morphology
1mtsarq0m289n4h,MGI:107416,Supt4a,C57BL,Early adult,IMPC_CBC_011_001,0.3251262,Iron
1mu7auyu8q6tn49,MGI:2442144,Taf5,C57BL,Early adult,IMPC_CSD_080_001,0.4137574,Head bobbing
1mv93s977yxqqc4,MGI:107416,Supt4a,C57BL,E9.5,KMPCLA_CSD_008_001,0.762384,Coat - color pattern - back
1mxk4jw905jje4b,MGI:1915751,Nsmce2,C57BL,Late adult,HRWLLA_EYE_092_001,0.3354223,Retina (combined)
1mzv1mixwdo5s0f,MGI:1917311,Sdr9c7,C57BL,Early adult,JAXLA_CSD_078_001,0.3692223,Vocalization
1n07u8cgd3q4ijy,MGI:3650624,Arid3c,C57BL,Early adult,KMPCLA_CSD_005_001,0.8879055,Coat - color - back
1n0b843m3r84uri,MGI:1923275,Cant1,C57BL,Early adult,IMPC_EYE_024_001,0.000000000000000003117269,Retinal Blood Vessels
1n2og0rm101itu9,MGI:2137354,Trim9,C57BL,Early adult,IMPC_GEL_063_001,0.7075361,Delayed embryonic development
1n3j49osstk1bpn,MGI:1914738,Calcoco1,C57BL,Early adult,IMPC_HEM_019_001,0.6139627,Mean platelet volume
1n49900jc7w16u7,MGI:1926950,Zfp236,C57BL,Middle aged adult,IMPC_ECH_009_001,0.9012112,LVPWd
1n5b300f8993246,MGI:2442144,Taf5,C57BL,E9.5,IMPC_CBC_002_001,0.6233928,Potassium
1n7555yo0335g22,MGI:107277,Fyco1,C57BL,Early adult,IMPC_EYE_069_001,0.1321741,Left inner nuclear layer
1n7s2zf7bas3y62,MGI:1926950,Zfp236,C57BL,Late adult,ESLIM_015_001_018,0.745556,Triglyceride
1n7wjig0r91f009,MGI:96654,Kcna1,C57BL,NA,JAX_OFD_014_001,0.3723743,Center distance travelled
1n8w9692zas71r1,MGI:1915751,Nsmce2,C57BL,E9.5,ESLIM_015_001_017,0.3777707,Total cholesterol
1ndm80p35vu39o8,MGI:1889272,Cadm1,C57BL,Early adult,IMPC_ACS_034_001,0.4726295,% Pre-pulse inhibition - PPI2
1nf12e000329by5,MGI:2148801,Afg1l,C57BL,Early adult,JAX_OFD_007_001,0.06541918,Whole arena resting time
1nf3a3o9p17r8u1,MGI:1926154,Cfap20dc,C57BL,Early adult,IMPC_CBC_013_001,0.4320292,Alanine aminotransferase
1nfh21cxkd58pqj,MGI:87994,Aldoa,C57BL,E9.5,IMPC_OFD_010_001,0.4401394,Periphery distance travelled
1nfyd5bp477p552,MGI:2148801,Afg1l,C57BL,Early adult,JAX_OFD_010_001,0.3518154,Periphery distance travelled
1nj7az159bbfh50,MGI:103032,Scg3,C57BL,Early adult,IMPC_CBC_003_001,0.63662,Chloride
1nj9l3bd0t69839,MGI:2145316,Txndc5,C57BL,Early adult,IMPC_HEM_003_001,0.4391814,Hemoglobin
1njq773p8r4c864,MGI:1889272,Cadm1,129SV,Early adult,IMPC_EYE_027_001,0.6419624,Persistence of hyaloid vascular system
1nkpjo6g4u6co8r,MGI:3039629,Slc17a8,C57BL,Early adult,CCP_XRY_031_001,NA,Digit integrity
1nks4bja34901mr,MGI:1917311,Sdr9c7,C57BL,E15.5,IMPC_HEM_002_001,0.840838,Red blood cell count
1nmlp0nh221v0g5,MGI:2143484,Slc6a15,C57BL,Early adult,IMPC_HEM_036_001,0.5031563,Eosinophil cell count
1nmpzd8vb960uk3,MGI:3650624,Arid3c,C57BL,Early adult,IMPC_CBC_007_001,0.4640121,Albumin
1nq0egw0z420753,MGI:1197515,Irx1,C57BL,Early adult,IMPC_CBC_011_001,0.4403277,Iron
1nsc4z85z71v7fv,MGI:1914545,Rab3c,C57BL,Early adult,IMPC_HWT_008_001,0.5493367,Heart weight
1nssm3267y2afj2,MGI:1929743,Asb2,C57BL,Early adult,IMPC_IMM_061_001,0.00007574336,T Cells (panel B)
1nw81n8337t85vf,MGI:95751,Glrb,C57BL,Early adult,UCDLA_HEM_002_001,0.1439369,Red blood cell count
1nz9q4p0n3jvza1,MGI:2148801,Afg1l,C57BL,Middle aged adult,IMPC_EYE_010_001,0.5467901,Iris/Pupil
1o1756vgx0m8ue0,MGI:1298397,Sncg,C57BL,Early adult,JAX_SLW_006_001,0.09703848,Sleep bout lengths standard deviation
1o1u26a39w4242t,MGI:1298224,Pip5k1c,C57BL,Early adult,JAX_OFD_013_001,0.3407829,Periphery average speed
1o225o1lg0654h6,MGI:1918968,Telo2,C57BL,E9.5,ESLIM_015_001_019,0.9802049,Free fatty acid
1o2v3haop10m9mc,MGI:2150302,Ddhd1,C57BL,Early adult,JAX_SLW_013_001,0.7004497,Breath rate during sleep mean
1o3ia0bwvij615w,MGI:1914391,Fbxo5,C57BL,E9.5,IMPC_GEM_062_001,0.7171031,Craniofacial morphology
1o4e27b702t43i0,MGI:2684953,Dnah7b,C57BL,Early adult,IMPC_OFD_013_001,0.1635737,Periphery average speed
1o4e2dxp795mhc7,MGI:1922806,Cfap161,C57BL,Early adult,IMPC_CSD_080_001,0.6506759,Head bobbing
1o507i69057432u,MGI:2148801,Afg1l,C57BL,Middle aged adult,IMPC_ACS_033_001,0.3543097,% Pre-pulse inhibition - PPI1
1o5xk8d5g2r9o00,MGI:1915152,Sumf2,C57BL,Early adult,IMPC_OFD_009_001,0.1601937,Whole arena average speed
1o65615t49tg06r,MGI:3710243,Myh7b,C57BL,Early adult,JAX_ROT_002_001,0.9732416,Average duration
1o832k54484269c,MGI:2145316,Txndc5,C57BL,Early adult,IMPC_OFD_016_001,0.5025766,Center permanence time
1o84h7s3fl9gszu,MGI:1860835,Ak3,C57BL,Early adult,JAX_OFD_013_001,0.6280449,Periphery average speed
1o91r11h6kkyrip,MGI:1915751,Nsmce2,C57BL,Late adult,KMPCIP_CSD_008_001,0.1983706,Coat - color pattern - back
1oa827a4orlh80y,MGI:1918968,Telo2,C57BL,E9.5,JAX_LDT_008_001,0.2957627,Percent time in dark
1ob6113z631z308,MGI:1934754,Kars1,C57BL,E12.5,ESLIM_019_001_003,0.6749848,IgG1
1oc574324n5oaq6,MGI:1915751,Nsmce2,C57BL,Early adult,IMPC_GEL_017_002,0.8344657,Pale yolk sac
1ocbv6ni8n5i3ma,MGI:1923275,Cant1,C57BL,Early adult,JAX_SLW_008_001,0.8111404,Light sleep bout lengths standard deviation
1od11o6rc1gw27o,MGI:1918968,Telo2,C57BL,E9.5,M-G-P_013_001_003,0.492217,Left Retina
1odxhyryo68p90e,MGI:1921850,Mrpl47,C57BL,E9.5,IMPC_OFD_020_001,0.7404817,Distance travelled - total
1oe7nv3v68rl141,MGI:87994,Aldoa,C57BL,e9.5,M-G-P_013_001_004,0.5530249,Left Retina Pigmentation
1ogpsc008j2892e,MGI:1921850,Mrpl47,C57BL,Early adult,IMPC_HEM_019_001,0.1063629,Mean platelet volume
1oj6yoz996s923t,MGI:2145316,Txndc5,C57BL,Early adult,IMPC_HEM_029_001,0.2851805,Neutrophil differential count
1olxihc5998x881,MGI:1920136,Yju2,C57BL,E12.5,IMPC_CBC_008_001,0.157776,Total bilirubin
1ome7ck848ge5j6,MGI:1197515,Irx1,C57BL,E15.5,IMPC_HEM_029_001,0.1890474,Neutrophil differential count
1oop9id342662yu,MGI:1921850,Mrpl47,C57BL,E9.5,IMPC_HEM_027_001,0.2136492,Red blood cell distribution width
1oqw034z2o4x8vd,MGI:1914738,Calcoco1,C57BL,Early adult,KMPCLA_CBC_010_001,0.4151726,Phosphorus
1or3j57509k0qqg,MGI:1197515,Irx1,C57BL,Early adult,IMPC_OFD_017_001,0.5004782,Center average speed
1ort070cu65g509,MGI:3650624,Arid3c,C57BL,Early adult,IMPC_EYE_010_001,0.767755,Iris/Pupil
1ot7ea78jv622f9,MGI:2148801,Afg1l,C57BL,Early adult,ESLIM_008_001_012,0.898984,Tail elevation
1otn89209pcbif2,MGI:1914228,Luc7l,C57BL,Early adult,JAX_PLC_004_001,0.9348646,Glucose
1ouo26arrzr0xx2,MGI:3710243,Myh7b,C57BL,early adult,KMPCIP_CSD_008_001,0.6924518,Coat - color pattern - back
1ovl17p4l273ot4,MGI:1919066,Rnf180,C57BL,Early adult,IMPC_ECH_005_001,0.3006097,Fractional Shortening
1ox0163wy25dur9,MGI:1923322,Rnf183,C57BL,Early adult,JAXLA_CSD_078_001,0.801968,Vocalization
1oxi3jgc8d8a814,MGI:1914545,Rab3c,C57BL,Early adult,IMPC_CBC_010_001,0.4052614,Phosphorus
1oz6f2yylp6lz4n,MGI:107448,Lyst,C57BL,Early adult,IMPC_OFD_021_001,0.7117132,Number of rears - total
1oz8u145c7s07oq,MGI:2682639,Ddx31,C57BL,Early adult,IMPC_EYE_066_001,0.7435977,Left corneal thickness
1ozt963tb28g920,MGI:1914737,Dhx40,C57BL,Early adult,IMPC_CBC_014_001,0.3212022,Alkaline phosphatase
1ozxpe2qw5i8a2o,MGI:1921358,Parn,C57BL,Early adult,UCDIP_GRS_009_001,0.9313392,Forelimb and hindlimb grip strength measurement mean
1p01988068t3a82,MGI:103032,Scg3,C57BL,Early adult,IMPC_HEM_035_001,0.609036,Eosinophil differential count
1p04xb18663zih3,MGI:1298224,Pip5k1c,C57BL,Early adult,JAXLA_CSD_078_001,0.6420952,Vocalization
1p0p723522vt874,MGI:96654,Kcna1,C57BL,Early adult,IMPC_OFD_007_001,0.176842,Whole arena resting time
1p0x36917tmql02,MGI:1920136,Yju2,C57BL,E12.5,IMPC_GEM_062_001,0.158784,Craniofacial morphology
1p11hp706114f7g,MGI:2685787,Arhgef33,C57BL,Early adult,IMPC_EYE_067_001,0.8042868,Left anterior chamber depth
1p12fnq36977395,MGI:87994,Aldoa,C57BL,Early adult,IMPC_ECH_005_001,0.8277678,Fractional Shortening
1p1588275060qd5,MGI:1298224,Pip5k1c,C57BL,Early adult,IMPC_OFD_021_001,0.5261298,Number of rears - total
1p1a46e87s37yte,MGI:1277178,Fam91a1,C57BL,E18.5,IMPC_HEM_003_001,0.3338178,Hemoglobin
1p28tw667to7169,MGI:2447773,Fam83a,C57BL,Early adult,KMPCLA_CBC_004_001,0.07100065,Urea (Blood Urea Nitrogen - BUN)
1p32ypt4301p1ig,MGI:1929743,Asb2,C57BL,E9.5,HRWLLA_EYE_092_001,0.2769477,Retina (combined)
1p414nr5wburyts,MGI:2150302,Ddhd1,C57BL,Early adult,IMPC_LDT_008_001,0.9939848,Percent time in light
1p4a3v37c6u8791,MGI:87994,Aldoa,C57BL,E12.5,JAXLA_CSD_078_001,0.4349248,Vocalization
1p4snyh693i5f14,MGI:1921358,Parn,C57BL,Early adult,JAX_OFD_010_001,0.8091736,Periphery distance travelled
1p5761d05l0ccg4,MGI:2148801,Afg1l,C57BL,Middle aged adult,IMPC_ABR_008_001,0.5533192,18kHz-evoked ABR Threshold
1p6210j4q02636j,MGI:1197515,Irx1,C57BL,Early adult,IMPC_ABR_006_001,0.3712665,12kHz-evoked ABR Threshold
1p73w687qnf97l2,MGI:2442144,Taf5,C57BL,E9.5,IMPC_CSD_077_001,0.9111893,Contact righting
1p753ply905p0u4,MGI:107416,Supt4a,C57BL,E9.5,IMPC_OFD_020_001,0.6539934,Distance travelled - total
1p75v54fr9ivew1,MGI:1920081,Dhx30,C57BL,E9.5,IMPC_CBC_013_001,0.1961633,Alanine aminotransferase
1p76o0ex7fk3732,MGI:1920211,Slc17a7,C57BL,Early adult,IMPC_CBC_002_001,0.2707001,Potassium
1p77764kq6x2bcf,MGI:1917311,Sdr9c7,C57BL,Early adult,JAX_SLW_006_001,0.106691,Sleep bout lengths standard deviation
1p7oiu68cqxno00,MGI:2154278,Ankrd6,C57BL,Early adult,JAXLA_CSD_012_001,0.7478991,Coat - hair distribution - head
1p809y9ck35r73r,MGI:1860835,Ak3,C57BL,Early adult,JAX_SLW_013_001,0.6514422,Breath rate during sleep mean
1p914p6bks6bth7,MGI:107416,Supt4a,C57BL,E9.5,IMPC_CBC_012_001,0.451306,Aspartate aminotransferase
1p9mrai8l6k02l8,MGI:3650333,Krtap9-5,C57BL,Early adult,IMPC_CSD_041_002,0.696843,Hindpaw - size
1p9nxn5bplu45ak,MGI:1920081,Dhx30,C57BL,E12.5,KMPCLA_GRS_010_001,0.7643783,Forelimb grip strength normalised against body weight
1pc37224pp266y9,MGI:1278344,Nipsnap1,C57BL,Early adult,IMPC_IMM_054_001,0.2269896,NK Subsets (Q1)
1pcf80h74qh342v,MGI:2137354,Trim9,C57BL,Early adult,IMPC_OFD_009_001,0.3747173,Whole arena average speed
1pdw351ex2qiw59,MGI:1889272,Cadm1,129SV,Early adult,IMPC_OFD_013_001,0.3206834,Periphery average speed
1pg7s2f1298j662,MGI:97616,Plcg2,C3H,Early adult,IMPC_IPG_010_001,0.6000094,Fasted blood glucose concentration
1ph9ovz8r05493m,MGI:1918968,Telo2,C57BL,E9.5,HRWLLA_EYE_017_001,0.4220635,Lens Opacity
1phsue0d545ir6r,MGI:1925868,Acap2,C57BL,Early adult,ESLIM_019_001_007,0.7235507,IgE
1pn6j3vwqm50539,MGI:1921850,Mrpl47,C57BL,Early adult,IMPC_OFD_007_001,0.2088909,Whole arena resting time
1pr707636xyq6ll,MGI:1920081,Dhx30,C57BL,E9.5,JAX_URI_004_001,0.807508,Magnesium
1pxhh31wb2c0421,MGI:1298224,Pip5k1c,C57BL,Early adult,IMPC_GEL_024_001,0.2040096,Branchial arch morphology
1q127v82nti7a6q,MGI:2148801,Afg1l,C57BL,Late adult,IMPC_IMM_061_001,0.8264106,T Cells (panel B)
1q1620vw841tzz0,MGI:1197515,Irx1,C57BL,E12.5,ESLIM_019_001_002,0.2853872,IgG3
1q2f241yme1g8d2,MGI:1915751,Nsmce2,C57BL,E9.5,IMPC_EYE_061_001,0.88373,Right anterior chamber depth
1q32q6u88e1v58f,MGI:1197515,Irx1,C57BL,E15.5,IMPC_HEM_005_001,0.5712188,Mean cell volume
1q4151mwr86g2k2,MGI:2442707,Tmem72,C57BL,Late adult,IMPC_EYE_024_001,0.4111047,Retinal Blood Vessels
1q4c408h3991e5i,MGI:1915751,Nsmce2,C57BL,Late adult,IMPC_DXA_009_001,0.3600743,Fat/Body weight
1q4w5h4ie7687sv,MGI:1926950,Zfp236,C57BL,Early adult,KMPCLA_OFD_009_001,0.4652882,Whole arena average speed
1q561h1l84pr5l4,MGI:3769724,Tomt,C57BL,Early adult,IMPC_HEM_033_001,0.9557744,Monocyte differential count
1q5k76h6ugo8rk7,MGI:1918039,Kynu,C57BL,Middle aged adult,ESLIM_011_001_009,0.3681834,PP3 + pulse startle magnitude
1q5n74r8tg194t7,MGI:2443778,Cfap69,C57BL,Early adult,IMPC_IMM_056_001,0.4337977,NK Subsets (Q3)
1q681w5lhtt4x24,MGI:1298224,Pip5k1c,C57BL,E18.5,JAX_SLW_008_001,0.3038076,Light sleep bout lengths standard deviation
1q695lz591l915m,MGI:1914737,Dhx40,C57BL,Early adult,IMPC_CSD_037_001,0.4302806,Unexpected behaviors
1q6k030bf68f78o,MGI:1278344,Nipsnap1,C57BL,Early adult,M-G-P_008_001_012,0.7041175,Tail elevation
1q750o6c9xv3ghu,MGI:87994,Aldoa,C57BL,Early adult,IMPC_CBC_008_001,0.878561,Total bilirubin
1q75m08aqogz7aa,MGI:87994,Aldoa,C57BL,E9.5,IMPC_ECH_009_001,0.1380347,LVPWd
1q7wp35vo4m2j1g,MGI:1918673,Epg5,C57BL,Early adult,IMPC_FEA_015_001,0.9883106,Cue Baseline % Freezing Time
1q8qq3p90r81obu,MGI:2148801,Afg1l,C57BL,Late adult,JAX_SLW_007_001,0.05888434,Light sleep bout lengths mean
1q8t7wx9iwaal71,MGI:1921850,Mrpl47,C57BL,Early adult,M-G-P_026_001_007,0.9386292,Skin pigmentation
1q9me6865rvzc98,MGI:1913483,Dmap1,C57BL,E12.5,IMPC_OFD_017_001,0.9359142,Center average speed
1qa69p4wyiw67cx,MGI:2150302,Ddhd1,C57BL,Early adult,IMPC_CBC_002_001,0.2383471,Potassium
1qb0567n036i67z,MGI:2145316,Txndc5,C57BL,Early adult,IMPC_EYE_027_001,0.2447172,Persistence of hyaloid vascular system
1qe9ax78642vh07,MGI:108404,Apbb3,C57BL,Early adult,IMPC_OFD_012_001,0.959961,Periphery permanence time
1qim0o182wcf44c,MGI:1918968,Telo2,C57BL,E9.5,IMPC_EYE_059_001,0.7039332,Mean right eye lens density
1qis2iexvj7g4u8,MGI:1918039,Kynu,C57BL,Early adult,IMPC_EYE_007_001,0.813628,Cornea
1qn614w95x9vkt0,MGI:1914807,Larp6,C57BL,Early adult,IMPC_CSD_005_001,0.457203,Coat - color - back
1qoeu8ens4w6s9t,MGI:95413,Ercc2,C57BL,Early adult,IMPC_ECH_004_001,0.08076562,Ejection Fraction
1qqaki25igpk0m7,MGI:2682639,Ddx31,C57BL,E12.5,KMPCLA_CSD_008_001,0.5628995,Coat - color pattern - back
1qr11zg2t371sqo,MGI:2145316,Txndc5,C57BL,Early adult,IMPC_OFD_013_001,0.000002169481,Periphery average speed
1qr95835b03o29h,MGI:2685483,Gsg1l,C57BL,Early adult,IMPC_OFD_021_001,0.8781836,Number of rears - total
1qrq5h2sdci95ml,MGI:99554,Lgals3bp,C57BL,Early adult,M-G-P_013_001_004,0.8108725,Left Retina Pigmentation
1qs3qw85noxt57y,MGI:2444024,Rinl,C57BL,Early adult,JAX_SLW_008_001,0.5031191,Light sleep bout lengths standard deviation
1qswqs2x2qq1b9w,MGI:2682639,Ddx31,C57BL,E12.5,IMPC_CBC_003_001,0.1765457,Chloride
1qw62450wld96zy,MGI:1298397,Sncg,C57BL,Middle aged adult,IMPC_EYE_061_001,0.2642022,Right anterior chamber depth
1qz627w29y83v86,MGI:88105,Atp1a1,C57BL,Early adult,ESLIM_011_001_010,0.8600627,PP4 + pulse startle magnitude
1r0t0ipwb8k28x8,MGI:1926154,Cfap20dc,C57BL,Early adult,IMPC_OFD_009_001,0.7680431,Whole arena average speed
1r1282m2riw9v3o,MGI:1920136,Yju2,C57BL,E9.5,IMPC_ECH_009_001,0.06515634,LVPWd
1r12nj70qchm515,MGI:1915751,Nsmce2,C57BL,E9.5,IMPC_GEL_011_001,NA,Embryo turning
1r3i2coy53gjbll,MGI:1923275,Cant1,C57BL,Early adult,IMPC_CSD_016_001,0.918992,Coat - hair texture / appearance - abdomen
1r3is6mrp3jj924,MGI:1920081,Dhx30,C57BL,Early adult,M-G-P_013_001_008,0.8564441,Right Retina Pigmentation
1r58z402e75hse9,MGI:1914285,Dnajb4,C57BL,Early adult,IMPC_OWT_004_001,0.9936251,Right kidney weight
1r59npi523mx67z,MGI:1919221,Zswim1,C57BL,Early adult,IMPC_HEM_035_001,NA,Eosinophil differential count
1r604v967i78ozf,MGI:1920081,Dhx30,C57BL,Early adult,IMPC_ABR_010_001,0.6021005,24kHz-evoked ABR Threshold
1r6l3gb2c25lly2,MGI:1921850,Mrpl47,C57BL,E9.5,KMPCLA_GRS_010_001,0.9455566,Forelimb grip strength normalised against body weight
1r6l4as834082b4,MGI:1914615,Pudp,C57BL,Early adult,IMPC_HWT_008_001,0.6094866,Heart weight
1r6sxr18mu8w5w5,MGI:2685483,Gsg1l,C57BL,Early adult,IMPC_EYE_027_001,0.3474116,Persistence of hyaloid vascular system
1r7108udme0k82q,MGI:1860835,Ak3,C57BL,Early adult,IMPC_HEM_001_001,0.521164,White blood cell count
1r8c858sy605g3f,MGI:2685787,Arhgef33,C57BL,Early adult,IMPC_OFD_009_001,0.2222507,Whole arena average speed
1r9356c336ky846,MGI:2442144,Taf5,C57BL,E9.5,ESLIM_019_001_007,0.2376395,IgE
1r9q8kj0i2617f9,MGI:2148801,Afg1l,C57BL,Middle aged adult,ESLIM_019_001_007,0.8586489,IgE
1r9w86s0y1f3pd4,MGI:87994,Aldoa,C57BL,E12.5,JAX_SLW_013_001,0.9066512,Breath rate during sleep mean
1ra6b88de3794bb,MGI:1926950,Zfp236,C57BL,E9.5,ESLIM_007_001_011,0.7986653,Centre resting time
1rd9881es46k77i,MGI:1926950,Zfp236,C57BL,Early adult,IMPC_OFD_022_001,0.8916884,Percentage center time
1rj0b30qqk8wf01,MGI:87870,Acat1,C57BL,Early adult,JAXLA_CSD_078_001,0.7647521,Vocalization
1rjfeu723w27263,MGI:2150302,Ddhd1,C57BL,Early adult,IMPC_OFD_016_001,0.1875132,Center permanence time
1rm6n0iu9ah6597,MGI:1914805,Mgat4d,C57BL,Early adult,JAX_OFD_021_001,0.9899572,Number of rears - total
1rn8l36n010mpn1,MGI:1860835,Ak3,C57BL,Early adult,ESLIM_016_001_006,0.8572163,Mean corpuscular haemoglobin
1rowo634o2bn604,MGI:1921850,Mrpl47,C57BL,E12.5,ESLIM_008_001_012,0.403162,Tail elevation
1rprc27f44mz6gj,MGI:1926950,Zfp236,C57BL,E9.5,ESLIM_019_001_007,0.141195,IgE
1ru1j5e3878jtts,MGI:1298224,Pip5k1c,C57BL,E12.5,KMPCLA_GRS_011_001,0.1430372,Forelimb and hindlimb grip strength normalised against body weight
1rv97xay9a12s57,MGI:1923275,Cant1,C57BL,Early adult,IMPC_ABR_002_001,0.8427467,Click-evoked ABR threshold
1rwj5h9dsf67889,MGI:1921850,Mrpl47,C57BL,E12.5,IMPC_CSD_015_001,0.9954173,Coat - hair texture / appearance - head
1s019cv15q38cw4,MGI:2682639,Ddx31,C57BL,E12.5,IMPC_HEM_007_001,0.2563568,Mean cell hemoglobin concentration
1s09333t302ro55,MGI:107416,Supt4a,C57BL,E9.5,IMPC_ABR_008_001,0.4260454,18kHz-evoked ABR Threshold
1s0y47jzs33815i,MGI:1926950,Zfp236,C57BL,E9.5,IMPC_CBC_023_001,0.6780536,Alpha-amylase
1s0y97h8cvk6b6h,MGI:3039629,Slc17a8,C57BL,Early adult,IMPC_CBC_009_001,0.8760065,Calcium
1s1as0k9rskz4wg,MGI:107416,Supt4a,C57BL,Early adult,IMPC_OFD_022_001,0.2169656,Percentage center time
1s1qjx6pv400u58,MGI:1917311,Sdr9c7,C57BL,Early adult,IMPC_GEP_030_002,0.08691683,Edema
