"","impcParameterOrigId","name","description","parameterId"
"712",18119,"Time of dark cycle end","The ending time of the dark cycle. E.g. 7 a.m.","IMPC_CAL_020_001"
"713",18120,"Total water intake",NA,"IMPC_CAL_021_001"
"714",18121,"Cumulative water intake",NA,"IMPC_CAL_022_001"
"715",28674,"End-Systolic Diameter",NA,"IMPC_ECH_001_001"
"716",28675,"End-Diastolic Diameter",NA,"IMPC_ECH_002_001"
"717",28676,"Stroke Volume",NA,"IMPC_ECH_003_001"
"718",28677,"Ejection Fraction",NA,"IMPC_ECH_004_001"
"719",28678,"Fractional Shortening",NA,"IMPC_ECH_005_001"
"720",28679,"Cardiac Output",NA,"IMPC_ECH_006_001"
"721",28680,"LVAWd",NA,"IMPC_ECH_007_001"
"722",28681,"LVIDd",NA,"IMPC_ECH_008_001"
"723",28682,"LVPWd",NA,"IMPC_ECH_009_001"
"724",28683,"LVAWs",NA,"IMPC_ECH_010_001"
"725",28684,"LVIDs",NA,"IMPC_ECH_011_001"
"726",28685,"LVPWs",NA,"IMPC_ECH_012_001"
"727",28686,"HR",NA,"IMPC_ECH_013_001"
"728",28687,"Body Temp",NA,"IMPC_ECH_014_001"
"729",28688,"VTI of aortic flow (Pulse wave doppler mode)",NA,"IMPC_ECH_015_001"
"730",28689,"Aortic diameter (Dao)",NA,"IMPC_ECH_016_001"
"731",28690,"Tpeak Tend Interval",NA,"IMPC_ECH_017_001"
"732",28691,"Respiration Rate",NA,"IMPC_ECH_018_001"
"733",28692,"Equipment ID",NA,"IMPC_ECH_019_001"
"734",28693,"Equipment Manufacturer",NA,"IMPC_ECH_020_001"
"735",28694,"Equipment Model",NA,"IMPC_ECH_021_001"
"736",28695,"Anesthetic",NA,"IMPC_ECH_022_001"
"737",28696,"Experimenter ID",NA,"IMPC_ECH_023_001"
"738",28697,"Date equipment last calibrated",NA,"IMPC_ECH_024_001"
"739",28698,"M-Mode Images",NA,"IMPC_ECH_025_001"
"740",37378,"Sodium","sodium","IMPC_CBC_001_001"
"741",37379,"Potassium","potassium","IMPC_CBC_002_001"
"742",37380,"Chloride","chloride","IMPC_CBC_003_001"
"743",37381,"Urea (Blood Urea Nitrogen - BUN)","urea","IMPC_CBC_004_001"
"744",37382,"Creatinine","creatinine_enzymatic_method_preferred_","IMPC_CBC_005_001"
"745",37383,"Total protein","total_protein","IMPC_CBC_006_001"
"746",37384,"Albumin","albumin","IMPC_CBC_007_001"
"747",37385,"Total bilirubin","total_bilirubin","IMPC_CBC_008_001"
"748",37386,"Calcium","calcium","IMPC_CBC_009_001"
"749",37387,"Phosphorus","phosphate","IMPC_CBC_010_001"
"750",37388,"Iron","iron","IMPC_CBC_011_001"
"751",37389,"Aspartate aminotransferase","aspartate_aminotransferase","IMPC_CBC_012_001"
"752",37390,"Alanine aminotransferase","alanine_aminotransferase","IMPC_CBC_013_001"
"753",37391,"Alkaline phosphatase","alkaline_phosphatase","IMPC_CBC_014_001"
"754",37392,"Total cholesterol","total_cholesterol","IMPC_CBC_015_001"
"755",37393,"HDL-cholesterol","hdl_cholesterol","IMPC_CBC_016_001"
"756",37394,"Triglycerides","triglycerides","IMPC_CBC_017_001"
"757",37395,"Glucose","glucose","IMPC_CBC_018_001"
"758",37396,"LIH (Hemolysis Severity - available on AU analysers)","lih_hemolysis_severity_available_on_au_analysers_","IMPC_CBC_019_001"
"759",37397,"Fructosamine","fructosamine","IMPC_CBC_020_001"
"760",37398,"Lipase","lipase","IMPC_CBC_021_001"
"761",37399,"Lactate dehydrogenase","lactate_dehydrogenase","IMPC_CBC_022_001"
"762",37400,"Alpha-amylase","alpha_amylase","IMPC_CBC_023_001"
"763",37401,"UIBC (unsaturated iron binding capacity)","uibc_unsaturated_iron_binding_capacity_","IMPC_CBC_024_001"
"764",37402,"LDL-cholesterol","ldl_cholesterol","IMPC_CBC_025_001"
"765",37403,"Free fatty acids","free_fatty_acids","IMPC_CBC_026_001"
"766",37404,"Glycerol","glycerol","IMPC_CBC_027_001"
"767",37405,"Creatine kinase","creatine_kinase","IMPC_CBC_028_001"
"768",37406,"Uric acid","uric_acid","IMPC_CBC_029_001"
"769",37407,"Ferritin","ferritin","IMPC_CBC_030_001"
"770",37408,"Transferrin","transferrin","IMPC_CBC_031_001"
"771",37409,"C-reactive protein","c_reactive_protein","IMPC_CBC_032_001"
"772",37410,"Equipment ID","equipment_name","IMPC_CBC_033_001"
"773",37411,"Equipment manufacturer","equipment_manufacturer","IMPC_CBC_034_001"
"774",37412,"Equipment model","equipment_model","IMPC_CBC_035_001"
"775",37413,"Anesthesia used for blood collection","anesthesia_used_for_blood_collection","IMPC_CBC_036_001"
"776",37414,"Method of blood collection","method_of_blood_collection","IMPC_CBC_037_001"
"777",37415,"Anticoagulant","anticoagulant","IMPC_CBC_038_001"
"778",37416,"Samples kept on ice between collection and analysis","samples_kept_on_ice_between_collection_and_analysis","IMPC_CBC_042_001"
"779",37417,"Sample status","sample_status","IMPC_CBC_043_001"
"780",37418,"Sample dilution","plasma_dilution","IMPC_CBC_044_001"
"781",37419,"ID of blood collection SOP","id_of_blood_collection_sop","IMPC_CBC_045_001"
"782",37420,"Date and time of blood collection","date_and_time_of_blood_collection","IMPC_CBC_046_001"
"783",37421,"Hemolysis status","hemolysis_status","IMPC_CBC_048_001"
"784",37422,"Blood collection experimenter ID",NA,"IMPC_CBC_049_001"
"785",37423,"Date equipment last calibrated",NA,"IMPC_CBC_050_001"
"786",37424,"Blood collection tubes",NA,"IMPC_CBC_039_001"
"787",37425,"Date and time of sacrifice",NA,"IMPC_CBC_040_001"
"788",37426,"Storage temperature from blood collection till measurement",NA,"IMPC_CBC_041_001"
"789",37427,"Blood analysis experimenter ID",NA,"IMPC_CBC_051_001"
"790",37428,"Glycosilated hemoglobin A1c (HbA1c)",NA,"IMPC_CBC_052_001"
"791",37429,"Thyroxine",NA,"IMPC_CBC_053_001"
"792",37430,"Magnesium",NA,"IMPC_CBC_054_001"
"793",37431,"Difficult bleed",NA,"IMPC_CBC_055_001"
"794",37432,"Sample type",NA,"IMPC_CBC_056_001"
"795",37433,"Fasting",NA,"IMPC_CBC_057_001"
"796",37434,"Cholesterol ratio","TC/HDLC ratio","IMPC_CBC_058_001"
"797",37435,"Reagent manufacturer",NA,"IMPC_CBC_059_001"
"798",45824,"Heart Morphology","heart_morphology","IMPC_GEO_008_001"
"799",45825,"Blood Vessel Morphology","blood_vessel_morphology","IMPC_GEO_011_001"
"800",45826,"Head shape","head_shape","IMPC_GEO_015_001"
"801",45827,"Head size","head_size","IMPC_GEO_016_001"
"802",45828,"Embryo Size","embryo_size","IMPC_GEO_019_001"
"803",45829,"Ear Morphology","abnormal_ear_morphology","IMPC_GEO_022_001"
"804",45830,"Vibrissa Morphology","vibrissa_morphology","IMPC_GEO_028_001"
"805",45831,"Skin Appearance","skin_appearance","IMPC_GEO_029_001"
"806",45832,"Skin Coloration","skin_coloration","IMPC_GEO_030_001"
"807",45833,"Tail Morphology","tail_morphology","IMPC_GEO_033_001"
"808",45834,"Liver Size","liver_size","IMPC_GEO_037_001"
"809",45835,"Comment on image","comment_on_image","IMPC_GEO_049_001"
"810",45836,"Images","images","IMPC_GEO_050_001"
"811",45837,"Experimenter ID","experimenter_id","IMPC_GEO_051_001"
"812",45838,"Equipment ID","equipment_id","IMPC_GEO_052_001"
"813",45839,"Equipment Manufacturer","equipment_manufacturer","IMPC_GEO_053_001"
"814",45840,"Equipment Model","equipment_model","IMPC_GEO_054_001"
"815",45841,"Fixative","fixative","IMPC_GEO_055_001"
"816",45842,"Time of Dissection","time_of_dissection","IMPC_GEO_056_001"
"817",45843,"Somite Stage","somite_stage","IMPC_GEO_057_001"
"818",45844,"Time of dark cycle start","time_of_dark_cycle_start","IMPC_GEO_058_001"
"819",45845,"Time of dark cycle end","time_of_dark_cycle_end","IMPC_GEO_059_001"
"820",45846,"Date equipment last calibrated","date_equipment_last_calibrated","IMPC_GEO_060_001"
"821",45847,"Hemorrhage","hemorrhage","IMPC_GEO_009_002"
"822",45848,"Facial Cleft","facial_cleft","IMPC_GEO_017_002"
"823",45849,"Cleft Palate","cleft_palate","IMPC_GEO_018_002"
"824",45850,"Polydactyly","polydactyly","IMPC_GEO_034_002"
"825",45851,"Pale Liver","pale_liver","IMPC_GEO_038_002"
"826",45852,"Exencephaly","exencephaly","IMPC_GEO_041_002"
"827",45853,"Holoprosencephaly","holoprosencephaly","IMPC_GEO_042_002"
"828",45854,"spina bifida","spina_bifida","IMPC_GEO_043_002"
"829",45855,"Microphthalmia","microphthalmia","IMPC_GEO_047_002"
"830",45856,"Anophthalmia","anophthalmia","IMPC_GEO_048_002"
"831",45857,"Severely Dysmorphic",NA,"IMPC_GEO_061_001"
"832",45858,"Abdominal wall",NA,"IMPC_GEO_062_001"
"833",45859,"Craniofacial morphology",NA,"IMPC_GEO_063_001"
"834",45860,"Edema",NA,"IMPC_GEO_064_001"
"835",45861,"Limb morphology",NA,"IMPC_GEO_065_001"
"836",45862,"Microcephaly",NA,"IMPC_GEO_066_001"
"837",45863,"Syndactyly",NA,"IMPC_GEO_067_001"
"838",45864,"CRL",NA,"IMPC_GEO_068_001"
"839",45865,"Delayed embryonic development",NA,"IMPC_GEO_069_001"
"840",45866,"Blebs",NA,"IMPC_GEO_070_001"
"841",45867,"Facial hypoplasia",NA,"IMPC_GEO_071_001"
"842",45868,"Pallor",NA,"IMPC_GEO_072_001"
"843",28829,"Response amplitude - BN","response_amplitude_bn","IMPC_ACS_001_001"
"844",28830,"Response amplitude - PP1","response_amplitude_pp1","IMPC_ACS_002_001"
"845",28831,"Response amplitude - PP2","response_amplitude_pp2","IMPC_ACS_003_001"
"846",28832,"Response amplitude - PP3","response_amplitude_pp3","IMPC_ACS_004_001"
"847",28833,"Response amplitude - PP4","response_amplitude_pp4","IMPC_ACS_005_001"
"848",28834,"Response amplitude - S","response_amplitude_s","IMPC_ACS_006_001"
"849",28835,"Response amplitude - PP1_S","response_amplitude_pp1_s","IMPC_ACS_007_001"
"850",28836,"Response amplitude - PP2_S","response_amplitude_pp2_s","IMPC_ACS_008_001"
"851",28837,"Response amplitude - PP3_S","response_amplitude_pp3_s","IMPC_ACS_009_001"
"852",28838,"Response amplitude - PP4_S","response_amplitude_pp4_s","IMPC_ACS_010_001"
"853",28839,"Light level in chamber","light_level_in_chamber","IMPC_ACS_011_001"
"854",28840,"Experimenter ID","experimenter","IMPC_ACS_014_001"
"855",28841,"Startle stimulus","startle_pulse","IMPC_ACS_015_001"
"856",28842,"Background noise","background_noise","IMPC_ACS_016_001"
"857",28843,"Pre-pulse stimulus 1","pre_pulse_stimulus_1","IMPC_ACS_017_001"
"858",28844,"Pre-pulse stimulus 2","pre_pulse_stimulus_2","IMPC_ACS_018_001"
"859",28845,"Pre-pulse stimulus 3","pre_pulse_stimulus_3","IMPC_ACS_019_001"
"860",28846,"Pre-pulse stimulus 4","pre_pulse_stimulus_4","IMPC_ACS_020_001"
"861",28847,"Inter-trial interval","inter_trial_interval","IMPC_ACS_021_001"
"862",28848,"Number of trials","number_of_trials","IMPC_ACS_022_001"
"863",28849,"In-chamber adapt time","in_chamber_adapt_time","IMPC_ACS_023_001"
"864",28850,"Stimulus order","stimulus_order","IMPC_ACS_024_001"
"865",28851,"Mouse chamber ID","mouse_chamber_id","IMPC_ACS_025_001"
"866",28852,"Equipment ID","equipment_name","IMPC_ACS_026_001"
"867",28853,"Equipment manufacturer","equipment_manufacturer","IMPC_ACS_027_001"
"868",28854,"Equipment model","equipment_model","IMPC_ACS_028_001"
"869",28855,"Software version","software_version","IMPC_ACS_029_001"
"870",28856,"Mouse chamber dimension","mouse_chamber_dimension","IMPC_ACS_030_001"
"871",28857,"Sound generator manufacturer","sound_generator","IMPC_ACS_031_001"
"872",28858,"Sound-proof box dimension","sound_proof_box_dimension","IMPC_ACS_032_001"
"873",28859,"% Pre-pulse inhibition - PPI1","_pre_pulse_inhibition_pp1","IMPC_ACS_033_001"
"874",28860,"% Pre-pulse inhibition - PPI2","_pre_pulse_inhibition_pp2","IMPC_ACS_034_001"
"875",28861,"% Pre-pulse inhibition - PPI3","_pre_pulse_inhibition_pp3","IMPC_ACS_035_001"
"876",28862,"% Pre-pulse inhibition - PPI4","_pre_pulse_inhibition_pp4","IMPC_ACS_036_001"
"877",28863,"% Pre-pulse inhibition - Global","_pre_pulse_inhibition_global","IMPC_ACS_037_001"
"878",28864,"Date equipment last calibrated",NA,"IMPC_ACS_038_001"
"879",28865,"Inter PP-S stimulus interval",NA,"IMPC_ACS_013_001"
"880",28866,"Sound generator model",NA,"IMPC_ACS_039_001"
"881",18301,"Body Weight","body_weight","IMPC_IPG_001_001"
"882",18302,"Blood glucose concentration","blood_glucose_concentration","IMPC_IPG_002_001"
"883",18303,"Equipment ID","equipment_name","IMPC_IPG_003_001"
"884",18304,"Equipment manufacturer","equipment_manufacturer","IMPC_IPG_004_001"
"885",18305,"Equipment model","equipment_model","IMPC_IPG_005_001"
"886",18306,"Mouse restrained","mouse_restrained","IMPC_IPG_006_001"
"887",18307,"Type of strip","type_of_strip","IMPC_IPG_007_001"
"888",18308,"Experimenter ID",NA,"IMPC_IPG_008_001"
"889",18309,"Date equipment last calibrated",NA,"IMPC_IPG_009_001"
"890",18310,"Fasted blood glucose concentration",NA,"IMPC_IPG_010_001"
"891",18311,"Initial response to glucose challenge",NA,"IMPC_IPG_011_001"
"892",18312,"Area under glucose response curve",NA,"IMPC_IPG_012_001"
"893",18313,"Upper limit of the meter",NA,"IMPC_IPG_013_001"
"894",37882,"Insulin","insulin","IMPC_INS_001_001"
"895",37883,"Type of kit","type_of_kit","IMPC_INS_002_001"
"896",37884,"Kit manufacturer","kit_manufacturer","IMPC_INS_003_001"
"897",37885,"Kit lot number","kit_lot_number","IMPC_INS_004_001"
"898",37886,"Equipment ID","equipment_id","IMPC_INS_005_001"
"899",37887,"Equipment manufacturer","equipment_manufacturer","IMPC_INS_006_001"
"900",37888,"Equipment model","equipment_model","IMPC_INS_007_001"
"901",37889,"Blood collection tubes","blood_collection_tubes","IMPC_INS_008_001"
"902",37890,"Anesthesia used for blood collection","anesthesia_used_for_blood_collection","IMPC_INS_009_001"
"903",37891,"Method of blood collection","method_of_blood_collection","IMPC_INS_010_001"
"904",37892,"Anticoagulant","anticoagulant","IMPC_INS_011_001"
"905",37893,"Date and time of blood collection","date_and_time_of_blood_collection","IMPC_INS_012_001"
"906",37894,"Sample status","sample_status","IMPC_INS_014_001"
"907",37895,"Samples kept on ice between collection and analysis","samples_kept_on_ice_between_collection_and_analysis","IMPC_INS_015_001"
"908",37896,"Sample dilution","sample_dilution","IMPC_INS_016_001"
"909",37897,"Replicates","replicates","IMPC_INS_017_001"
"910",37898,"ID of blood collection SOP","id_of_blood_collection_sop","IMPC_INS_018_001"
"911",37899,"Hemolysis status","hemolysis_status","IMPC_INS_019_001"
"912",37900,"Blood collection experimenter ID","blood_collection_experimenter_id","IMPC_INS_020_001"
"913",37901,"Blood analysis experimenter ID","blood_analysis_experimenter_id","IMPC_INS_021_001"
"914",37902,"Date equipment last calibrated","date_equipment_last_calibrated","IMPC_INS_022_001"
"915",37903,"Sample type",NA,"IMPC_INS_023_001"
"916",46202,"Heart Morphology","heart_morphology","IMPC_GEP_010_001"
"917",46203,"Blood Vessel Morphology","blood_vessel_morphology","IMPC_GEP_013_001"
"918",46204,"Head shape","head_shape","IMPC_GEP_015_001"
"919",46205,"Head size","head_size","IMPC_GEP_016_001"
"920",46206,"Facial Morphology","facial_morphology","IMPC_GEP_017_001"
"921",46207,"Embryo Size","embryo_size","IMPC_GEP_022_001"
"922",46208,"Embryo weight","embryo_weight","IMPC_GEP_023_001"
"923",46209,"Body wall morphology","body_wall_morphology","IMPC_GEP_024_001"
"924",46210,"Outer ear morpholgy","outer_ear_morpholgy","IMPC_GEP_026_001"
"925",46211,"Vibrissa Morphology","vibrissa_morphology","IMPC_GEP_033_001"
"926",46212,"Skin Appearance","skin_appearance","IMPC_GEP_034_001"
"927",46213,"Pallor","pallor","IMPC_GEP_035_001"
"928",46214,"Skin Coloration","skin_coloration","IMPC_GEP_036_001"
"929",46215,"Tail Morphology","tail_morphology","IMPC_GEP_038_001"
"930",46216,"Liver Size","liver_size","IMPC_GEP_042_001"
"931",46217,"Respiratory System","respiratory_system","IMPC_GEP_052_001"
"932",46218,"Comment on image","comment_on_image","IMPC_GEP_063_001"
"933",46219,"Images","images","IMPC_GEP_064_001"
"934",46220,"Experimenter ID","experimenter_id","IMPC_GEP_065_001"
"935",46221,"Equipment ID","equipment_id","IMPC_GEP_066_001"
"936",46222,"Equipment Manufacturer","equipment_manufacturer","IMPC_GEP_067_001"
"937",46223,"Equipment Model","equipment_model","IMPC_GEP_068_001"
"938",46224,"Fixative","fixative","IMPC_GEP_069_001"
"939",46225,"Time of Dissection","time_of_dissection","IMPC_GEP_070_001"
"940",46226,"Somite Stage","somite_stage","IMPC_GEP_071_001"
"941",46227,"Time of dark cycle start","time_of_dark_cycle_start","IMPC_GEP_072_001"
"942",46228,"Time of dark cycle end","time_of_dark_cycle_end","IMPC_GEP_073_001"
"943",46229,"Date equipment last calibrated","date_equipment_last_calibrated","IMPC_GEP_074_001"
"944",46230,"Spontaneous movement","no_spontaneous_movement","IMPC_GEP_004_002"
"945",46231,"Responsive to tactile stimuli","unresponsive_to_tactile_stimuli","IMPC_GEP_005_002"
"946",46232,"Hemorrhage","hemorrhage","IMPC_GEP_011_002"
"947",46233,"Facial Cleft","facial_cleft","IMPC_GEP_018_002"
"948",46234,"Cyanosis","cyanosis","IMPC_GEP_029_002"
"949",46235,"Edema","edema","IMPC_GEP_030_002"
"950",46236,"Polydactyly","polydactyly","IMPC_GEP_039_002"
"951",46237,"Exencephaly","exencephaly","IMPC_GEP_047_002"
"952",46238,"Holoprosencephaly","holoprosencephaly","IMPC_GEP_048_002"
"953",46239,"spina bifida","spina_bifida","IMPC_GEP_049_002"
"954",46240,"Microphthalmia","microphthalmia","IMPC_GEP_059_002"
"955",46241,"Anophthalmia","anophthalmia","IMPC_GEP_060_002"
"956",46242,"Failure of Eyelid Fusion","failure_of_eyelid_fusion","IMPC_GEP_061_002"
"957",46243,"Severely Dysmorphic",NA,"IMPC_GEP_075_001"
"958",46244,"Cleft palate",NA,"IMPC_GEP_076_001"
"959",46245,"Curl or short tail",NA,"IMPC_GEP_078_001"
"960",46246,"Facial hypoplasia",NA,"IMPC_GEP_079_001"
"961",46247,"Microcephaly",NA,"IMPC_GEP_080_001"
"962",46248,"Pale liver",NA,"IMPC_GEP_081_001"
"963",46249,"Syndactyly",NA,"IMPC_GEP_082_001"
"964",46250,"Tongue out",NA,"IMPC_GEP_083_001"
"965",46251,"Limb morphology",NA,"IMPC_GEP_084_001"
"966",46252,"CRL",NA,"IMPC_GEP_085_001"
"967",46253,"Delayed embryonic development",NA,"IMPC_GEP_086_001"
"968",46254,"Blebs",NA,"IMPC_GEP_087_001"
"969",29207,"Body weight","body_weight","IMPC_ABR_001_001"
"970",29208,"Click-evoked ABR threshold","click_evoked_abr_threshold","IMPC_ABR_002_001"
"971",29209,"Click-evoked ABR waveforms (numerical format)","click_evoked_abr_waveforms_numerical_format_","IMPC_ABR_003_001"
"972",29210,"6kHz-evoked ABR Threshold","6khz_evoked_abr_threshold","IMPC_ABR_004_001"
"973",29211,"6kHz-evoked ABR waveforms (numerical format)","6khz_evoked_abr_waveforms_numerical_format_","IMPC_ABR_005_001"
"974",29212,"12kHz-evoked ABR Threshold","12khz_evoked_abr_threshold","IMPC_ABR_006_001"
"975",29213,"12kHz-evoked ABR waveforms (numerical format)","12khz_evoked_abr_waveforms_numerical_format_","IMPC_ABR_007_001"
"976",29214,"18kHz-evoked ABR Threshold","18khz_evoked_abr_threshold","IMPC_ABR_008_001"
"977",29215,"18kHz-evoked ABR waveforms (numerical format)","18khz_evoked_abr_waveforms_numerical_format_","IMPC_ABR_009_001"
"978",29216,"24kHz-evoked ABR Threshold","24khz_evoked_abr_threshold","IMPC_ABR_010_001"
"979",29217,"24kHz-evoked ABR waveforms (numerical format)","24khz_evoked_abr_waveforms_numerical_format_","IMPC_ABR_011_001"
"980",29218,"30kHz-evoked ABR Threshold","30khz_evoked_abr_threshold","IMPC_ABR_012_001"
"981",29219,"30kHz-evoked ABR waveforms (numerical format)","30khz_evoked_abr_waveforms_numerical_format_","IMPC_ABR_013_001"
"982",29220,"Click-evoked + 6 to 30kHz tone waveforms (pdf format)","click_evoked_6_to_30khz_tone_waveforms_pdf_format_","IMPC_ABR_014_001"
"983",29221,"Audiograms","audiograms","IMPC_ABR_015_001"
"984",29222,"Preyer Reflex","preyer_reflex","IMPC_ABR_016_001"
"985",29223,"Click +20dB waveforms (numerical format)","click_20db_waveforms_numerical_format_","IMPC_ABR_017_001"
"986",29224,"Click +50dB waveforms (numerical format)","click_50db_waveforms_numerical_format_","IMPC_ABR_018_001"
"987",29225,"Click +20dB+50dB waveforms (pdf format)","click_20db_50db_waveforms_pdf_format_","IMPC_ABR_019_001"
"988",29226,"P1-N1 amplitude (at each stimulus level)","p1_n1_amplitude_at_each_stimulus_level_","IMPC_ABR_020_001"
"989",29227,"P3-N3 amplitude (at each stimulus level)","p3_n3_amplitude_at_each_stimulus_level_","IMPC_ABR_021_001"
"990",29228,"P1 Latency (at each stimulus level)","p1_latency_at_each_stimulus_level_","IMPC_ABR_022_001"
"991",29229,"N1 Latency (at each stimulus level)","n1_latency_at_each_stimulus_level_","IMPC_ABR_023_001"
"992",29230,"P3 Latency (at each stimulus level)","p3_latency_at_each_stimulus_level_","IMPC_ABR_024_001"
"993",29231,"N3 Latency (at each stimulus level)","n3_latency_at_each_stimulus_level_","IMPC_ABR_025_001"
"994",29232,"P1-P3 Interval (at each stimulus level)","p1_p3_interval_at_each_stimulus_level_","IMPC_ABR_026_001"
"995",29233,"N1-N3 Interval (at each stimulus level)","n1_n3_interval_at_each_stimulus_level_","IMPC_ABR_027_001"
"996",29234,"Range of test stimuli used","range_of_test_stimuli_used","IMPC_ABR_028_001"
"997",29235,"Range of stimulus levels used - Click","range_of_stimulus_levels_used_click","IMPC_ABR_029_001"
"998",29236,"Range of stimulus levels used - 6kHz","range_of_stimulus_levels_used_6khz","IMPC_ABR_030_001"
"999",29237,"Range of stimulus levels used - 12kHz","range_of_stimulus_levels_used_12khz","IMPC_ABR_031_001"
"1000",29238,"Range of stimulus levels used - 18kHz","range_of_stimulus_levels_used_18khz","IMPC_ABR_032_001"
"1001",29239,"Range of stimulus levels used - 24kHz","range_of_stimulus_levels_used_24khz","IMPC_ABR_033_001"
"1002",29240,"Range of stimulus levels used - 30kHz","range_of_stimulus_levels_used_30khz","IMPC_ABR_034_001"
"1003",29241,"Extension of stimulus levels","extension_of_stimulus_levels","IMPC_ABR_035_001"
"1004",29242,"Stimulus level step size","stimulus_level_step_size","IMPC_ABR_036_001"
"1005",29243,"Tone Pip Duration","tone_pip_duration","IMPC_ABR_037_001"
"1006",29244,"Tone Pip rise/fall","tone_pip_rise_fall","IMPC_ABR_038_001"
"1007",29245,"Repetition Rate","repetition_rate","IMPC_ABR_039_001"
"1008",29246,"Number averages","number_averages","IMPC_ABR_040_001"
"1009",29247,"Recording Environment","recording_environment","IMPC_ABR_041_001"
"1010",29248,"Anesthetic agent 1","anesthetic_agent_1","IMPC_ABR_042_001"
"1011",29249,"Anesthetic agent 2","anesthetic_agent_2","IMPC_ABR_043_001"
"1012",29250,"Anesthetic agent 1 dosage","anesthetic_agent_1_dosage","IMPC_ABR_044_001"
"1013",29251,"Anesthetic agent 2 dosage","anesthetic_agent_2_dosage","IMPC_ABR_045_001"
"1014",29252,"Anesthetic administration route","anesthetic_administration_route","IMPC_ABR_046_001"
"1015",29253,"Time of injection","time_of_injection","IMPC_ABR_048_001"
"1016",29254,"Equipment ID","equipment_id","IMPC_ABR_049_001"
"1017",29255,"Equipment manufacturer","equipment_manufacturer","IMPC_ABR_050_001"
"1018",29256,"Equipment model","equipment_model","IMPC_ABR_051_001"
"1019",29257,"Software","software","IMPC_ABR_052_001"
"1020",29258,"Experimenter ID","experimenter_id","IMPC_ABR_053_001"
"1021",29259,"Date equipment last calibrated","date_equipment_last_calibrated","IMPC_ABR_054_001"
"1022",18421,"Body weight",NA,"IMPC_CHL_001_001"
"1023",18422,"Frequency of breathing (f)",NA,"IMPC_CHL_002_001"
"1024",18423,"Tidal volume (TVb)",NA,"IMPC_CHL_003_001"
"1025",18424,"Minute volume (MVb)",NA,"IMPC_CHL_004_001"
"1026",18425,"Peak expiratory flow (PEFb)",NA,"IMPC_CHL_005_001"
"1027",18426,"Peak inspiratory flow (PIFb)",NA,"IMPC_CHL_006_001"
"1028",18427,"Pause (PAU)",NA,"IMPC_CHL_007_001"
"1029",18428,"Inspiratory time (Ti)",NA,"IMPC_CHL_008_001"
"1030",18429,"Expiratory time (Te)",NA,"IMPC_CHL_009_001"
"1031",18430,"Relaxation time (Tr)",NA,"IMPC_CHL_010_001"
"1032",18431,"Time of pause (Tp)",NA,"IMPC_CHL_011_001"
"1033",18432,"Enhanced pause (Penh)",NA,"IMPC_CHL_012_001"
"1034",18433,"Rejection index (Rinx)",NA,"IMPC_CHL_013_001"
"1035",18434,"Rpef",NA,"IMPC_CHL_014_001"
"1036",18435,"TB",NA,"IMPC_CHL_015_001"
"1037",18436,"Compensation (Comp)",NA,"IMPC_CHL_016_001"
"1038",18437,"Flow at point 50% TV expired (EF50)",NA,"IMPC_CHL_017_001"
"1039",18438,"Equipment ID",NA,"IMPC_CHL_018_001"
"1040",18439,"Experimenter ID",NA,"IMPC_CHL_019_001"
"1041",18440,"Equipment manufacturer",NA,"IMPC_CHL_020_001"
"1042",18441,"Equipment model",NA,"IMPC_CHL_021_001"
"1043",18442,"Date equipment last calibrated",NA,"IMPC_CHL_022_001"
"1044",18443,"Chamber temperature (Tc)",NA,"IMPC_CHL_026_001"
"1045",18444,"Relative Humidity (RH)",NA,"IMPC_CHL_027_001"
"1046",18445,"Hypoxia challenge data present in submission",NA,"IMPC_CHL_029_001"
"1047",18446,"Methacholine challenge: duration of PBS measurement period","Length in minutes of the period for measuring reaction to PBS.","IMPC_CHL_023_001"
"1048",18447,"Methacholine challenge: duration of 12.5 mg/ml MCh measurement period","Length in minutes of the period for measuring reaction to 12.5mg/ml MCh.","IMPC_CHL_024_001"
"1049",18448,"Methacholine challenge: duration of 25 mg/ml MCh measurement period","Length in minutes of the period for measuring reaction to 25mg/ml MCh.","IMPC_CHL_025_001"
"1050",18449,"Methacholine challenge: duration of 50 mg/ml MCh measurement period","Length in minutes of the period for measuring reaction to 50mg/ml MCh.","IMPC_CHL_030_001"
"1051",18450,"Methacholine challenge: start of PBS measurement timestamp",NA,"IMPC_CHL_031_001"
"1052",18451,"Methacholine challenge: end of PBS measurement timestamp",NA,"IMPC_CHL_032_001"
"1053",18452,"Methacholine challenge: start of 12.5 mg/ml MCh measurement timestamp",NA,"IMPC_CHL_033_001"
"1054",18453,"Methacholine challenge: end of 12.5 mg/ml MCh measurement timestamp",NA,"IMPC_CHL_034_001"
"1055",18454,"Methacholine challenge: start of 25 mg/ml MCh measurement timestamp",NA,"IMPC_CHL_035_001"
"1056",18455,"Methacholine challenge: end of 25 mg/ml MCh measurement timestamp",NA,"IMPC_CHL_036_001"
"1057",18456,"Methacholine challenge: start of 50 mg/ml MCh measurement timestamp",NA,"IMPC_CHL_037_001"
"1058",18457,"Methacholine challenge: end of 50 mg/ml MCh measurement timestamp",NA,"IMPC_CHL_038_001"
"1059",18458,"Hypoxia challenge: duration of Unchallenged measurement period",NA,"IMPC_CHL_028_001"
