"gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","pvalue","parameter_name","analysis_id","check_result"
"MGI:1926950","Zfp236","C57BL","Early adult","ESLIM_007_001_012",0.3229567,"Centre permanence time","2ixpo4n618o030j",""
"MGI:3710243","Myh7b","C57BL","Early adult","IMPC_OFD_021_001",0.4874223,"Number of rears - total","2ixxk1vqqv7t6q2",""
"MGI:1298224","Pip5k1c","C57BL","Early adult","ESLIM_007_001_003",0.6538862,"Whole arena resting time","2iz0p528v760388",""
"MGI:1915751","NSMCE2","C57BL","E9.5","IMPC_HEM_007_001",0.905983,"Mean cell hemoglobin concentration","2j180n1m09386sk",""
"MGI:1920136","Yju2","C57BL","E9.5","UCDIP_GRS_009_001",0.06977147,"Forelimb and hindlimb grip strength measurement mean","2j1cq5810m9l855",""
"MGI:1889272","Cadm1","C57BL","Early adult","IMPC_OFD_014_001",0.727082,"Center distance travelled","2j1d1hlqx6k4yd6",""
"MGI:1920081","Dhx30","C57BL","E12.5","IMPC_CSD_029_001",0.7495247,"Activity (body position)","2j2293uofwrl26i",""
"MGI:1915751","Nsmce2","C57BL","Early adult","IMPC_OFD_050_001",0.7897033,"Percentage center movement time","2j329go81oml943",""
"MGI:1914738","Calcoco1","C57BL","Late adult","IMPC_CBC_011_001",0.665467,"Iron","2j41ne506t5p152",""
"MGI:2447773","Fam83a","C57BL","Early adult","IMPC_HEM_029_001",0.1777088,"Neutrophil differential count","2j475qyf244a741",""
"MGI:96080","Mst1","C57BL","Early adult","ESLIM_011_001_009",0.3681654,"PP3 + pulse startle magnitude","2j479jc9piuht7m",""
"MGI:1915751","Nsmce2","C57BL","E9.5","IMPC_CSD_006_001",0.8830454,"Coat - color - head","2j4rpx6r6ma1487",""
"MGI:107416","Supt4a","C57BL","E9.5","IMPC_ACS_036_001",1.26996,"% Pre-pulse inhibition - PPI4","2j57u48huj657r7","pvalue out of range 0-1"
"MGI:3650333","Krtap9-5","C57BL","Early adult","IMPC_ABR_002_001",0.1057368,"Click-evoked ABR threshold","2j58g380w89s7gh",""
"MGI:1889272","Cadm1","C57BL","Early adult","IMPC_OWT_004_001",0.3326475,"Right kidney weight","2j612rc604q72h0",""
"MGI:1920211","Slc17a7","C57BL","E18.5","IMPC_GEL_017_002",0.6699808,"Pale yolk sac","2j69z0of39f13wa",""
"MGI:95675","Gch1","C57BL","Early adult","IMPC_CBC_013_001",0.6218279,"Alanine aminotransferase","2j76i3757k5bw25",""
"MGI:97616","Plcg2","C3H","Early adult","JAX_SLW_007_001",0.1000517,"Light sleep bout lengths mean","2j813so63is5apm",""
"MGI:1929743","Asb2","C57BL","E9.5","IMPC_OFD_021_001",0.4321177,"Number of rears - total","2j826wp37xtp52n",""
"MGI:2685483","Gsg1l","C57BL","Early adult","KMPCIP_CSD_008_001",0.2408143,"Coat - color pattern - back","2j82rr8ud33wwl3",""
"MGI:1926950","Zfp236","C57BL","Late adult","IMPC_CBC_009_001",0.7698396,"Calcium","2j83z8k75rbtb0m",""
"MGI:1920211","Slc17a7","C57BL","Early adult","IMPC_GEL_063_001",0.4240406,"Delayed embryonic development","2j8808x4d8k839u",""
"MGI:95751","Glrb","C57BL","E15.5","IMPC_IMM_061_001",0.1210595,"T Cells (panel B)","2j94l6jb5i82828",""
"MGI:1919669","Fam72a","C57BL","Early adult","IMPC_OFD_012_001",0.3787271,"Periphery permanence time","2jatwksud304gk7",""
"MGI:1929743","Asb2","C57BL","E9.5","IMPC_GEL_024_001",0.8034188,"Branchial arch morphology","2jb070cn0nfl5jy",""
"MGI:2685787","Arhgef33","C57BL","Early adult","ESLIM_007_001_006",0.7717536,"Periphery distance travelled","2jc17c795bxt464",""
"MGI:1934754","Kars1","C57BL","E9.5","IMPC_OFD_017_001",0.3448113,"Center average speed","2jejo6ay7q2659g",""
"MGI:1921358","Parn","C57BL","Early adult","IMPC_CSD_028_001",0.4238512,"Snout size","2jf9h2i1i994272",""
"MGI:2684953","Dnah7b","C57BL","Early adult","JAX_OFD_014_001",0.4246287,"Center distance travelled","2ji27c8w1i7j0uj",""
"MGI:2444024","Rinl","C57BL","Early adult","ESLIM_019_001_007",0.1296648,"IgE","2ji71x2f6g3ymd7",""
"MGI:2137600","Rcc1l","C57BL","Early adult","ESLIM_007_001_011",0.4570725,"Centre resting time","2jl9a8u56z11926",""
"MGI:1920978","Psd","C57BL","Early adult","M-G-P_013_001_003",0.1673147,"Left Retina","2jm4xj0gd62ubo1",""
"MGI:95791","Got1","C57BL","Early adult","IMPC_ECG_002_001",0.8452788,"HR","2joq0q49n55i22p",""
"MGI:3769724","Tomt","C57BL","Early adult","JAX_LDT_008_001",0.6545487,"Percent time in dark","2jp86wwbo74e089",""
"MGI:1277178","Fam91a1","C57BL","Early adult","JAX_LDT_006_001",0.5624539,"Fecal boli","2jpf89i9532s84j",""
"MGI:1921850","Mrpl47","C57BL","E12.5","ESLIM_007_001_012",0.6363901,"Centre permanence time","2jrfu32h82r8i00",""
"MGI:2654470","Ctdsp1","C57BL","Early adult","JAX_LDT_005_001",0.5510883,"Time mobile dark side","2jrx27t5b9469sq",""
"MGI:95675","Gch1","C57BL","Early adult","ESLIM_016_001_006",0.1614384,"Mean corpuscular haemoglobin","2jvs99g23z4dc8p",""
"MGI:1916286","Zg16","C57BL","Early adult","IMPC_CBC_023_001",0.8079637,"Alpha-amylase","2jz356590a0e031",""
"MGI:1914738","Calcoco1","C57BL","Middle aged adult","ESLIM_011_001_010",0.2076254,"PP4 + pulse startle magnitude","2k0qd9795g446ig",""
"MGI:1889272","Cadm1","C57BL","Early adult","IMPC_OFD_011_001",0.5692015,"Periphery resting time","2k11sea5psq0ez8",""
"MGI:96654","Kcna1","C57BL","Early adult","IMPC_OFD_014_001",0.7728166,"Center distance travelled","2k1jli64tk5698z",""
"MGI:1341796","Pla2g2d","C57BL","Early adult","IMPC_GRS_011_001",0.7581316,"Forelimb and hindlimb grip strength normalised against body weight","2k36u3l90z57l1k",""
"MGI:2137600","Rcc1l","C57BL","Early adult","IMPC_CSD_029_001",0.1651459,"Activity (body position)","2k383m04uy208uv",""
"MGI:95675","Gch1","C57BL","Early adult","IMPC_OFD_017_001",0.369758,"Center average speed","2k492gk6ww5ar54",""
"MGI:1920136","Yju2","C57BL","E9.5","IMPC_GRS_010_001",0.3837906,"Forelimb grip strength normalised against body weight","2k4ji72vl7946l8",""
"MGI:2384902","Rnpep","C57BL","Early adult","IMPC_OFD_019_001",0.7311296,"Number of center entries","2k4vr7p340ne85u",""
"MGI:1298224","Pip5k1c","C57BL","Early adult","IMPC_EYE_061_001",0.8141409,"Right anterior chamber depth","2k51sv7u0s90g77",""
"MGI:1858259","Tomm40","C57BL","Early adult","IMPC_ABR_012_001",0.2932297,"30kHz-evoked ABR Threshold","2k52907w6n6yim1",""
"MGI:1889272","Cadm1","C57BL","Early adult","IMPC_HEM_029_001",0.2948855,"Neutrophil differential count","2k53ip842m0w01s",""
"MGI:2442707","Tmem72","C57BL","Middle aged adult","IMPC_DXA_009_001",0.5268759,"Fat/Body weight","2k545o8j59q268h",""
"MGI:1298224","Pip5k1c","C57BL","E18.5","IMPC_EYE_027_001",0.3299639,"Persistence of hyaloid vascular system","2k5m0b2492z7n9t",""
"MGI:1914228","Luc7l","C57BL","Late adult","IMPC_CSD_077_001",0.6768075,"Contact righting","2k6etx5s451o852",""
"MGI:3645933","Tm4sf19","C57BL","Early adult","IMPC_GEL_018_001",0.5551554,"Visceral yolk sac morphology","2k73yt0bw31c4wa",""
"MGI:95413","Ercc2","C57BL","Early adult","IMPC_EYE_061_001",0.692943,"Right anterior chamber depth","2k816oei3682936",""
"MGI:1914738","Calcoco1","C57BL","Early adult","IMPC_EYE_007_001",0.6357347,"Cornea","2k939j890log9ch",""
"MGI:2685787","Arhgef33","C57BL","Early adult","IMPC_CBC_016_001",0.8911397,"HDL-cholesterol","2k9o0sc5a81109t",""
"MGI:1197515","Irx1","C57BL","E12.5","IMPC_CBC_006_001",0.7763406,"Total protein","2kbg0l77j4h2n33",""
"MGI:87994","Aldoa","C57BL","Early adult","IMPC_HEM_001_001",0.173238,"White blood cell count","2kbv8y9j5867fz2",""
"MGI:2148801","Afg1l","C57BL","Early adult","IMPC_HEM_006_001",0.6131083,"Mean corpuscular hemoglobin","2kc0gl4o5ir29y0",""
"MGI:87994","Aldoa","C57BL","Early adult","IMPC_EYE_023_001",0.3790854,"Optic Disc","2kc6bo02pc5n0a1",""
"MGI:1918039","Kynu","C57BL","Early adult","ESLIM_007_001_011",0.556509,"Centre resting time","2kdvx6mne6v5ya7",""
"MGI:1926950","Zfp236","C57BL","E9.5","ESLIM_008_001_012",0.4308524,"Tail elevation","2keb1n667oyq5ff",""
"MGI:99554","Lgals3bp","C57BL","Early adult","IMPC_CBC_058_001",0.1679753,"Cholesterol ratio","2kf4z3r7j5k1956",""
"MGI:2443778","Cfap69","C57BL","Early adult","ESLIM_007_001_012",0.9672561,"Centre permanence time","2kgf6mvn3zx75fo",""
"MGI:1920136","Yju2","C57BL","E12.5","IMPC_ECH_004_001",-0.1023115,"Ejection Fraction","2kh13jy1jagda1l","pvalue out of range 0-1"
"MGI:1915751","Nsmce2","C57BL","E12.5","ESLIM_015_001_018",0.9587627,"Triglyceride","2kh367778r9nq34",""
"MGI:1914737","Dhx40","C57BL","Early adult","IMPC_OFD_012_001",0.2208105,"Periphery permanence time","2ki95d07m88n571",""
"MGI:1913857","Ms4a4d","C57BL","Early adult","JAX_SLW_008_001",0.291751,"Light sleep bout lengths standard deviation","2kizs9c1hmd3262",""
"MGI:1918039","Kynu","C57BL","Early adult","IMPC_OFD_017_001",0.9238841,"Center average speed","2kjxkk16jiw5p1c",""
"MGI:1916286","Zg16","C57BL","Early adult","IMPC_GRS_010_001",0.2481015,"Forelimb grip strength normalised against body weight","2kl3424420lkjrw",""
"MGI:1278344","Nipsnap1","C57BL","Early adult","CCP_XRY_031_001",0.3053509,"Digit integrity","2klbq6v5n58t7o0",""
"MGI:1934754","Kars1","C57BL","Early adult","IMPC_CBC_058_001",0.4314962,"Cholesterol ratio","2klg93k282p2259",""
"MGI:1926950","Zfp236","C57BL","E15.5","IMPC_GEL_018_001",0.05282515,"Visceral yolk sac morphology","2kn4f99nis3z345",""
"MGI:1916823","Hilpda","C57BL","Early adult","JAXLA_CSD_078_001",0.9375498,"Vocalization","2ko7128s5y56052",""
"MGI:2442144","Taf5","C57BL","E9.5","IMPC_ECG_002_001",0.0956762,"HR","2kpbaa9944e5h9e",""
"MGI:1914737","Dhx40","C57BL","Early adult","IMPC_GEM_062_001",0.08278908,"Craniofacial morphology","2kr17mjree5j8o3",""
"MGI:1919066","Rnf180","C57BL","Early adult","ESLIM_008_001_001",0.9265938,"Body position","2ks9lsh2tgm18r7",""
"MGI:2682639","Ddx31","C57BL","early adult","IMPC_ACS_036_001",0.227965,"% Pre-pulse inhibition - PPI4","2ktx2566768g8o5","mouse_life_stage invalid value"
"MGI:1916274","Snx15","C57BL","Early adult","IMPC_ABR_010_001",0.7608157,"24kHz-evoked ABR Threshold","2kv89jn97y46k86",""
"MGI:1929743","Asb2","C57BL","Early adult","IMPC_OFD_007_001",0.8219612,"Whole arena resting time","2kxssdu65b9g2tr",""
"MGI:1926950","Zfp236","C57BL","Early adult","IMPC_DXA_004_001",0.1802069,"Bone Mineral Density (excluding skull)","2kzx417047998e2",""
"MGI:103032","Scg3","C57BL","Early adult","IMPC_ECH_007_001",0.09091371,"LVAWd","2l12u7k58n8m10l",""
"MGI:2447773","Fam83a","C57BL","Early adult","IMPC_HEM_002_001",0.246943,"Red blood cell count","2l242791bss0nl1",""
"MGI:1277178","Fam91a1","C57BL","E18.5","IMPC_OFD_022_001",0.3396074,"Percentage center time","2l305795x4q5yzw",""
"MGI:1919669","Fam72a","C57BL","Early adult","IMPC_ACS_034_001",0.8551433,"% Pre-pulse inhibition - PPI2","2l33645gq9hg902",""
"MGI:107448","Lyst","C57BL","Early adult","HRWL_OWT_001_001",0.7092729,"Spleen weight","2l3o4176v3a79w8",""
"MGI:1926154","Cfap20dc","C57BL","Early adult","ESLIM_011_001_009",0.7721337,"PP3 + pulse startle magnitude","2l4thu8i8s09sb3",""
"MGI:1915751","Nsmce2","C57BL","E12.5","ESLIM_019_001_003",0.5946942,"IgG1","2l5mf6j26wtd437",""
"MGI:3039629","Slc17a8","C57BL","Early adult","IMPC_EYE_027_001",0.1382803,"Persistence of hyaloid vascular system","2l76rd7ayzwwoxc",""
"MGI:96654","Kcna1","C57BL","","IMPC_CSD_015_001",0.242622,"Coat - hair texture / appearance - head","2l7g8rur7x821uc","mouse_life_stage length error; mouse_life_stage invalid value"
"MGI:2442707","Tmem72","C57BL","Late adult","JAX_PLC_005_001",0.7602355,"Free fatty acids","2l7qhcya9qd0v0x",""
"MGI:2442707","Tmem72","C57BL","Late adult","UCD_OWT_029_001",0.05300917,"Body length","2l84n032orn9335",""
"MGI:1298397","Sncg","C57BL","Early adult","IMPC_CBC_014_001",0.5307488,"Alkaline phosphatase","2l8s4t3qzf98ops",""
"MGI:2148801","Afg1l","C51BL","Middle aged adult","JAX_OFD_014_001",0.6258148,"Center distance travelled","2l92902u9422054","mouse_strain invalid value"
"MGI:2684953","Dnah7b","C57BL","Early adult","M-G-P_007_001_009",0.7585423,"Periphery - average Speed","2lb4stc2qob1nu2",""
"MGI:97616","Plcg2","C3H","Early adult","ESLIM_016_001_007",0.7446294,"Mean cell haemoglobin concentration","2lbdfd4m5mcy7n0",""
"MGI:106014","Nudc","C57BL","Early adult","IMPC_IMM_054_001",0.2231398,"NK Subsets (Q1)","2lh5736cvzb2tr2",""
"MGI:1918968","Telo2","C57BL","Early adult","ESLIM_018_001_004",0.5554314,"CD25+ percentage of CD4+ T cells","2li82v15t75262p",""
"MGI:1341157","Sox30","C57BL","Early adult","ESLIM_008_001_001",0.6049347,"Body position","2llq79krnv9g9h5",""
"MGI:2442144","Taf5","C57BL","Early adult","IMPC_ABR_006_001",0.7801554,"12kHz-evoked ABR Threshold","2lm64668vd4n59p",""
"MGI:1298397","Sncg","C57BL","Middle aged adult","IMPC_CBC_016_001",0.3701389,"HDL-cholesterol","2lmw3205972f91s",""
"MGI:2145316","Txndc5","C57BL","Early adult","IMPC_EYE_083_001",0.9932757,"Vitreous","2ln7gm804355i31",""
"MGI:1860835","Ak3","C57BL","Early adult","CCP_XRY_031_001",0.2520727,"Digit integrity","2lr6t431qmg0798",""
"MGI:2442707","Tmem72","C57BL","Late adult","IMPC_EYE_061_001",0.1048876,"Right anterior chamber depth","2ls40eoz51v3gc2",""
"MGI:1915751","Nsmce2","C57BL","Early adult","ESLIM_016_001_006",0.1493947,"Mean corpuscular haemoglobin","2lsh7e0uojcy900",""
"MGI:95675","Gch1","C57BL","Early adult","IMPC_GEO_047_002",0.159379,"Microphthalmia","2ltg281e078000u",""
"MGI:2685483","Gsg1l","C57BL","Early adult","IMPC_EYE_066_001",0.2246004,"Left corneal thickness","2lu0o00eq5luc13",""
"MGI:105077","Hsd17b1","C57BL","Early adult","IMPC_ABR_002_001",0.7290309,"Click-evoked ABR threshold","2lu9l2i93o20fi0",""
"MGI:1919221","Zswim1","C57BL","Early adult","KMPCIP_CSD_005_001",0.07772477,"Coat - color - back","2lwb1j796mxb8mf",""
"MGI:105077","Hsd17b1","C57BL","Early adult","M-G-P_008_001_012",0.7502418,"Tail elevation","2lwl35fwep1u72j",""
"MGI:3039629","Slc17a8","C57BL","Early adult","IMPC_OFD_014_001",0.8038625,"Center distance travelled","2lxmobbb2dyrwds",""
"MGI:1197515","Irx1","C57BL","Early adult","JAX_SLW_006_001",0.6762363,"Sleep bout lengths standard deviation","2m0819ei5gz24s4",""
"MGI:1925868","Acap2","C57BL","Early adult","IMPC_HEM_038_001",0.08304143,"Basophil differential count","2m0mv8n2klrpxmb",""
"MGI:3779462","Plscr5","C57BL","Early adult","ESLIM_007_001_003",0.7449313,"Whole arena resting time","2m0n1ru8297oz9b",""
"MGI:1915751","Nsmce2","C57BL","E9.5","ESLIM_019_001_003",0.1893686,"IgG1","2m1b973p2t2258c",""
"MGI:1919580","Klhl40","C57BL","Early adult","KMPCLA_CSD_005_001",0.1118572,"Coat - color - back","2m1l6xk1s5b00ds",""
"MGI:107416","Supt4a","C57BL","E12.5","IMPC_OFD_019_001",0.6004748,"Number of center entries","2m59579we6005nh",""
"MGI:1934754","Kars1","C57BL","E12.5","IMPC_EYE_007_001",0.7299543,"Cornea","2m59u55mc23c5sp",""
"MGI:103032","Scg3","C57BL","Early adult","ESLIM_011_001_009",0.4039266,"PP3 + pulse startle magnitude","2m61fb9758u01k9",""
"MGI:2685483","Gsg1l","C57BL","Late adult","IMPC_FEA_015_001",0.5695658,"Cue Baseline % Freezing Time","2m8w16g43e925z3",""
"MGI:87994","Aldoa","C56BL","E9.5","IMPC_HEM_035_001",0.9035738,"Eosinophil differential count","2mej9e5tt9m4up9","mouse_strain invalid value"
"MGI:88105","Atp1a1","C57BL","Early adult","IMPC_CSD_041_002",0.9484652,"Hindpaw - size","2mf0q71ns87d34h",""
"MGI:1921358","Parn","C57BL","Early adult","JAX_PLC_004_001",0.8343652,"Glucose","2mf21c43s5e1j0j",""
"MGI:1197515","Irx1","C57BL","E15.5","IMPC_OFD_021_001",0.3382149,"Number of rears - total","2mh41hu4fruqg6f",""
"MGI:87994","Aldoa","C57BL","Early adult","IMPC_GEP_030_002",0.1560746,"Edema","2mj2a5u872632ek",""
"MGI:1921850","Mrpl47","C57BL","E9.5","IMPC_EYE_024_001",0.3631173,"Retinal Blood Vessels","2mln76f3wl2484f",""
"MGI:95675","Gch1","C57BL","Early adult","ESLIM_015_001_018",0.5697738,"Triglyceride","2mm4699777z55bt",""
"MGI:1926950","ZFP236","C57BL","E9.5","HRWL_OWT_001_001",0.6816557,"Spleen weight","2mobu01ze91o518",""
"MGI:1913483","Dmap1","C57BL","Early adult","KMPCLA_OFD_020_001",0.7903507,"Distance travelled - total","2mrgi344v6565x2",""
"MGI:2148801","Afg1l","C57BL","Middle aged adult","JAXLA_CSD_078_001",0.3882742,"Vocalization","2ms6r49639g72f5",""
"MGI:1918968","Telo2","C57BL","Early adult","IMPC_ACS_037_001",0.06360646,"% Pre-pulse inhibition - Global","2mt2eh192xvtm7t",""
"MGI:1914737","Dhx40","C50BL","Early adult","IMPC_HEM_005_001",0.3136483,"Mean cell volume","2mtl0q03913mv02","mouse_strain invalid value"
"MGI:107277","Fyco1","C57BL","Early adult","IMPC_OFD_014_001",0.9037428,"Center distance travelled","2mux51hl65q9i2e",""
"MGI:3779462","Plscr5","C57BL","Early adult","JAXLA_CSD_078_001",0.8833028,"Vocalization","2mxtv858c7hzw9t",""
"MGI:1914615","Pudp","C57BL","Early adult","ESLIM_016_001_006",0.7372899,"Mean corpuscular haemoglobin","2my67y112tc17e3",""
"MGI:1914545","Rab3c","C57BL","Early adult","IMPC_ACS_035_001",0.8857628,"% Pre-pulse inhibition - PPI3","2mzgtz514qysq2k",""
"MGI:1921850","Mrpl47","C57BL","Early adult","IMPC_CBC_006_001",0.1858829,"Total protein","2n01s316f98o10f",""
"MGI:1197515","Irx1","C57BL","E18.5","JAX_LDT_006_001",0.1995735,"Fecal boli","2n1lu05j85d197l",""
"MGI:1278344","NIPSNAP1","C57BL","Early adult","M-G-P_013_001_008",0.2299904,"Right Retina Pigmentation","2n225h6wegc9c97",""
"MGI:106014","Nudc","C57BL","Early adult","ESLIM_016_001_002",0.7315683,"Red blood cell count","2n26vwj5ja5z8t4",""
"MGI:1918039","Kynu","C57BL","Early adult","IMPC_HEM_032_001",0.811783,"Lymphocyte cell count","2n2f7py7oaq1yo8",""
"MGI:1918968","Telo2","C57BL","E9.5","IMPC_CSD_077_001",0.4774883,"Contact righting","2n2hot72bsq42gq",""
"MGI:2682639","Ddx31","C57BL","E12.5","IMPC_CSD_037_001",0.4355432,"Unexpected behaviors","2n2o5qzt3mu71nr",""
"MGI:2145316","Txndc5","C57BL","Early adult","IMPC_HEM_002_001",0.2148675,"Red blood cell count","2n4588g95146rb8",""
"MGI:2684953","Dnah7b","C57BL","Early adult","UCD_OWT_029_001",0.7442408,"Body length","2n4h0a8687228zk",""
"MGI:1926950","Zfp236","C57BL","E9.5","IMPC_OFD_011_001",0.535754,"Periphery resting time","2n605rrpcpf0ojh",""
"MGI:2442707","Tmem72","C57BL","Late adult","ESLIM_005_001_004",0.8906358,"Bone Mineral Density (excluding skull)","2n675f2ykmrpa3r",""
"MGI:1914805","Mgat4d","C57BL","Early adult","HRWL_OWT_001_001",0.6163895,"Spleen weight","2n7e55nu6h25j86",""
"MGI:96654","Kcna1","C57BL","","CCP_XRY_031_001",0.7850915,"Digit integrity","2n80g067m64p933","mouse_life_stage length error; mouse_life_stage invalid value"
"MGI:1925868","Acap2","C57BL","Early adult","IMPC_HEM_032_001",0.6030273,"Lymphocyte cell count","2na81u40p7ic3vx",""
"MGI:3650624","Arid3c","C57BL","Early adult","IMPC_EYE_062_001",0.1613401,"Right total retinal thickness","2ncks05l0r4svxg",""
"MGI:1914228","Luc7l","C57BL","Early adult","JAXLA_CSD_012_001",0.3103538,"Coat - hair distribution - head","2nderw6cij864xs",""
"MGI:1916286","Zg16","C57BL","Early adult","IMPC_OFD_014_001",0.5015658,"Center distance travelled","2ndw876p01ef62j",""
"MGI:2137354","Trim9","C57BL","Early adult","IMPC_EYE_023_001",0.1107921,"Optic Disc","2nee1dfvayg8ay9",""
"MGI:1341851","Msl3","C57BL","Early adult","IMPC_GEL_018_001",0.1141152,"Visceral yolk sac morphology","2nf9j27j40c33h3",""
"MGI:1920211","Slc17a7","C57BL","Early adult","IMPC_CSD_041_002",0.2404664,"Hindpaw - size","2nfk0112of27870",""
"MGI:1277178","Fam91a1","C57BL","Early adult","IMPC_ABR_002_001",0.1236218,"Click-evoked ABR threshold","2ng9g01avt81flk",""
"MGI:1914391","Fbxo5","C57BL","E9.5","IMPC_IPG_011_001",0.227147,"Initial response to glucose challenge","2ngak05ol7yu6w6",""
"MGI:1858259","Tomm40","C57BL","early adult","IMPC_OFD_022_001",0.2743042,"Percentage center time","2nidg01lfbs8b12","mouse_life_stage invalid value"
"MGI:1298224","Pip5k1c","C57BL","E12.5","IMPC_OWT_004_001",0.182981,"Right kidney weight","2njms864lw2k1vz",""
"MGI:1197515","Irx1","C57BL","E12.5","IMPC_EYE_027_001",0.2824113,"Persistence of hyaloid vascular system","2njoy31jc5hu639",""
"MGI:1914228","Luc7l","C57BL","Late adult","JAX_SLW_006_001",0.1310576,"Sleep bout lengths standard deviation","2nl75ha3k8yv417",""
"MGI:2150302","Ddhd1","C57BL","Early adult","ESLIM_018_001_006",0.05817278,"Mature B cells IgD+ percentage","2ns75vgtw36507b",""
"MGI:3039629","Slc17a8","C57BL","Early adult","IMPC_GRS_010_001",0.8489834,"Forelimb grip strength normalised against body weight","2ns8y4rp5dmy3d6",""
"MGI:87994","Aldoa","C57BL","E12.5","IMPC_CSD_080_001",0.9641785,"Head bobbing","2nt18ii3z0y96us",""
"MGI:1916823","Hilpda","C57BL","Early adult","ESLIM_016_001_006",0.9183475,"Mean corpuscular haemoglobin","2nv1ui88g43e34h",""
"MGI:2443439","Itgbl1","C57BL","Early adult","IMPC_DXA_004_001",0.09672364,"Bone Mineral Density (excluding skull)","2nyjs82gpe22jl7",""
"MGI:96654","Kcna1","C57BL","Early adult","JAX_PLC_004_001",0.9701486,"Glucose","2o0td64mz3qrs65",""
"MGI:1277178","Fam91a1","C57BL","E18.5","IMPC_HEM_027_001",0.5352063,"Red blood cell distribution width","2o233f8z52fkk5y",""
"MGI:1341851","Msl3","C57BL","Early adult","IMPC_CBC_003_001",0.5914417,"Chloride","2o2e14ig8qj6n6u",""
"MGI:87994","Aldoa","C57BL","E9.5","IMPC_ACS_033_001",0.6118455,"% Pre-pulse inhibition - PPI1","2o2ogbd7x7j80gu",""
"MGI:1923322","Rnf183","C57BL","Early adult","IMPC_EYE_059_001",0.8581092,"Mean right eye lens density","2o3z511902w13b7",""
"MGI:2148801","Afg1l","C57BL","Early adult","IMPC_ABR_012_001",0.8176493,"30kHz-evoked ABR Threshold","2o5b5j8rw53f1pe",""
"MGI:1918968","Telo2","C57BL","E9.5","IMPC_ACS_006_001",0.8723889,"Response amplitude - S","2o6176c21nv5c65",""
"MGI:2137354","Trim9","C57BL","Early adult","IMPC_EYE_027_001",0.6916054,"Persistence of hyaloid vascular system","2og8r29i9q62k35",""
"MGI:1919669","Fam72a","C57BL","Early adult","IMPC_EYE_083_001",0.1614475,"Vitreous","2ogjp3gf8055307",""
"MGI:1929743","Asb2","C57BL","E9.5","M-G-P_013_001_008",0.7093891,"Right Retina Pigmentation","2ogk5z00x1v9a13",""
"MGI:2685483","Gsg1l","C57BL","Early adult","IMPC_GRS_011_001",0.8413965,"Forelimb and hindlimb grip strength normalised against body weight","2ogx833p50v7p02",""
"MGI:1920040","Ssbp1","C57BL","Early adult","IMPC_LDT_008_001",0.9982334,"Percent time in light","2oj304478bj935d",""
"MGI:1915152","Sumf2","C57BL","Early adult","ESLIM_008_001_001",0.5972598,"Body position","2ol01vv41250elc",""
"MGI:2443047","Ttll1","C57BL","Early adult","IMPC_GEP_030_002",0.9627829,"Edema","2ooqq151y5p7pk8",""
"MGI:1914228","Luc7l","C57BL","Late adult","IMPC_CSD_010_001",0.9023116,"Coat - color pattern - abdomen","2op03944p4e2879",""
"MGI:1923322","Rnf183","C57BL","Early adult","IMPC_ECH_012_001",0.4090526,"LVPWs","2oq10hpiqg39w9i",""
"mgi:1914805","Mgat4d","C57BL","Early adult","IMPC_EYE_010_001",0.707901,"Iris/Pupil","2oru746lf97ma8k",""
"MGI:1915751","Nsmce2","C57BL","E12.5","JAX_URI_004_001",0.9072772,"Magnesium","2otf44te85646pu",""
"MGI:1914805","Mgat4d","C57BL","Early adult","IMPC_EYE_059_001",0.8538752,"Mean right eye lens density","2ov08z3k29k55o9",""
"MGI:1917311","Sdr9c7","C57BL","early adult","IMPC_CSD_030_001",0.5118414,"Tremor","2owml0moct97nyk","mouse_life_stage invalid value"
"MGI:1917311","Sdr9c7","C57BL","E15.5","IMPC_CBC_004_001",0.2697243,"Urea (Blood Urea Nitrogen - BUN)","2ox6t9i5mq2vc8c",""
"MGI:1913483","Dmap1","C57BL","E9.5","IMPC_EYE_023_001",0.7331049,"Optic Disc","2oymdr367x2x11b",""
"MGI:2141861","Ap2s1","C57BL","Early adult","IMPC_CSD_030_001",0.3762858,"Tremor","2p13xr2x8z4gcfy",""
"MGI:1916823","Hilpda","C57BL","Early adult","KMPCIP_CSD_005_001",0.6749395,"Coat - color - back","2p1w5nqq7183746",""
"MGI:1916823","Hilpda","C57BL","Early adult","CCP_XRY_063_001",0.3655165,"Cervical processes","2p271ox21537v68",""
"mgi:3779462","Plscr5","C57BL","Early adult","IMPC_HEM_002_001",0.43623,"Red blood cell count","2p41tqypjdh03w2",""
"MGI:1923322","Rnf183","C57BL","Early adult","IMPC_CBC_010_001",0.6138849,"Phosphorus","2p4mz1zo3q23l9r",""
"MGI:97616","PLCG2","C3H","Early adult","JAX_OFD_010_001",0.9624162,"Periphery distance travelled","2p5c7pf9je8za0f",""
"MGI:1914545","Rab3c","C57BL","Early adult","IMPC_GEL_027_001",0.9955351,"Neural tube closure","2p620670763q8o3",""
"MGI:2444612","Klhdc7a","C57BL","Early adult","IMPC_CSD_015_001",0.08802398,"Coat - hair texture / appearance - head","2p6488261eo9647",""
"MGI:1913483","Dmap1","C57BL","E12.5","IMPC_GEL_063_001",0.2027486,"Delayed embryonic development","2p8ak4onk3oe453",""
